 1.10065e-06 6.73244e-07 0  -0.100651 0.9918 0 
 1.10692e-06 6.80181e-07 0  -0.10692 0.991146 0 
 1.11318e-06 6.87158e-07 0  -0.113184 0.990453 0 
 1.11944e-06 6.94174e-07 0  -0.119444 0.98972 0 
 1.1257e-06 7.0123e-07 0  -0.1257 0.988947 0 
 1.13195e-06 7.08325e-07 0  -0.13195 0.988135 0 
 1.13819e-06 7.15459e-07 0  -0.138195 0.987284 0 
 1.14443e-06 7.22633e-07 0  -0.144434 0.986394 0 
 1.15067e-06 7.29846e-07 0  -0.150668 0.985464 0 
 1.1569e-06 7.37098e-07 0  -0.156896 0.984494 0 
 1.16312e-06 7.4439e-07 0  -0.163117 0.983486 0 
 1.16933e-06 7.51721e-07 0  -0.169332 0.982438 0 
 1.17554e-06 7.59091e-07 0  -0.17554 0.981352 0 
 1.18174e-06 7.665e-07 0  -0.181741 0.980226 0 
 1.18794e-06 7.73948e-07 0  -0.187935 0.979061 0 
 1.19412e-06 7.81435e-07 0  -0.194122 0.977857 0 
 1.2003e-06 7.88961e-07 0  -0.2003 0.976614 0 
 1.20647e-06 7.96526e-07 0  -0.206471 0.975332 0 
 1.21263e-06 8.0413e-07 0  -0.212634 0.974012 0 
 1.21879e-06 8.11772e-07 0  -0.218788 0.972652 0 
 1.22493e-06 8.19454e-07 0  -0.224933 0.971254 0 
 1.23107e-06 8.27174e-07 0  -0.231069 0.969817 0 
 1.2372e-06 8.34932e-07 0  -0.237197 0.968342 0 
 1.24331e-06 8.4273e-07 0  -0.243314 0.966828 0 
 1.24942e-06 8.50565e-07 0  -0.249422 0.965275 0 
 1.25552e-06 8.5844e-07 0  -0.25552 0.963684 0 
 1.26161e-06 8.66352e-07 0  -0.261608 0.962055 0 
 1.26769e-06 8.74303e-07 0  -0.267686 0.960387 0 
 1.27375e-06 8.82293e-07 0  -0.273753 0.958681 0 
 1.27981e-06 8.9032e-07 0  -0.279809 0.956936 0 
 1.28585e-06 8.98386e-07 0  -0.285853 0.955154 0 
 1.29189e-06 9.06489e-07 0  -0.291887 0.953334 0 
 1.29791e-06 9.14631e-07 0  -0.297909 0.951475 0 
 1.30392e-06 9.2281e-07 0  -0.303918 0.949579 0 
 1.30992e-06 9.31027e-07 0  -0.309916 0.947645 0 
 1.3159e-06 9.39283e-07 0  -0.315902 0.945673 0 
 1.32187e-06 9.47575e-07 0  -0.321874 0.943664 0 
 1.32783e-06 9.55906e-07 0  -0.327835 0.941616 0 
 1.33378e-06 9.64273e-07 0  -0.333781 0.939532 0 
 1.33972e-06 9.72679e-07 0  -0.339715 0.93741 0 
 1.34564e-06 9.81121e-07 0  -0.345635 0.93525 0 
 1.35154e-06 9.89601e-07 0  -0.351542 0.933054 0 
 1.35743e-06 9.98118e-07 0  -0.357434 0.93082 0 
 1.36331e-06 1.00667e-06 0  -0.363312 0.928549 0 
 1.36918e-06 1.01526e-06 0  -0.369176 0.926241 0 
 1.37502e-06 1.02389e-06 0  -0.375025 0.923897 0 
 1.38086e-06 1.03256e-06 0  -0.380859 0.921515 0 
 1.38668e-06 1.04126e-06 0  -0.386678 0.919097 0 
 1.39248e-06 1.04999e-06 0  -0.392481 0.916642 0 
 1.39827e-06 1.05877e-06 0  -0.398269 0.914151 0 
 1.40404e-06 1.06758e-06 0  -0.404041 0.911623 0 
 1.4098e-06 1.07643e-06 0  -0.409797 0.909059 0 
 1.41554e-06 1.08531e-06 0  -0.415537 0.906459 0 
 1.42126e-06 1.09423e-06 0  -0.42126 0.903823 0 
 1.42697e-06 1.10319e-06 0  -0.426966 0.90115 0 
 1.43266e-06 1.11218e-06 0  -0.432655 0.898442 0 
 1.43833e-06 1.1212e-06 0  -0.438327 0.895698 0 
 1.44398e-06 1.13027e-06 0  -0.443982 0.892919 0 
 1.44962e-06 1.13937e-06 0  -0.449619 0.890104 0 
 1.45524e-06 1.1485e-06 0  -0.455238 0.887253 0 
 1.46084e-06 1.15767e-06 0  -0.460839 0.884367 0 
 1.46642e-06 1.16687e-06 0  -0.466421 0.881446 0 
 1.47199e-06 1.17611e-06 0  -0.471985 0.87849 0 
 1.47753e-06 1.18539e-06 0  -0.477531 0.875499 0 
 1.48306e-06 1.1947e-06 0  -0.483057 0.872473 0 
 1.48856e-06 1.20404e-06 0  -0.488564 0.869412 0 
 1.49405e-06 1.21342e-06 0  -0.494051 0.866317 0 
 1.49952e-06 1.22283e-06 0  -0.499519 0.863187 0 
 1.50497e-06 1.23228e-06 0  -0.504967 0.860023 0 
 1.51039e-06 1.24176e-06 0  -0.510395 0.856824 0 
 1.5158e-06 1.25128e-06 0  -0.515802 0.853592 0 
